# Stellar mass histogram output file. It gives the generated number of stars in different mass range.
# The columns are:
# mass_range_center mass_range mass_range_upper_limit mass_range_lower_limit star_number_in_the_mass_range

39.91399724984983 0.5056704612092346 40.166832480454445 39.66116201924521 5266
39.411509795608644 0.4993044472731327 39.66116201924521 39.16185757197208 5282
38.91534828361998 0.4930185767041948 39.16185757197208 38.66883899526788 5445
38.425433074989286 0.48681184055720195 38.66883899526788 38.18202715471068 5411
37.941685533416276 0.48068324258880324 38.18202715471068 37.70134391212188 5455
37.46402801257307 0.4746317990976152 37.70134391212188 37.22671211302426 5498
36.99238384364111 0.46865653876631796 37.22671211302426 36.758055574257945 5609
36.52667732300507 0.46275650250575495 36.758055574257945 36.29529907175219 5625
36.0668337001017 0.4569307433009797 36.29529907175219 35.83836832845121 5715
35.61277916542158 0.45117832605926367 35.83836832845121 35.38719000239195 5742
35.164440838661946 0.44549832745999396 35.38719000239195 34.94169167493195 5850
34.72174675702871 0.43988983580648267 34.94169167493195 34.50180183912547 5783
34.28462586368566 0.4343519508796163 34.50180183912547 34.067449888245854 5912
33.85300799634917 0.428883783793367 34.067449888245854 33.63856610445249 5969
33.42682387602642 0.42348445685212965 33.63856610445249 33.21508164760036 6078
33.006005095895446 0.41815310340982137 33.21508164760036 32.796928544190536 6052
32.59048411032514 0.4128888677307856 32.796928544190536 32.38403967645975 6147
32.18019422403352 0.4076909048524584 32.38403967645975 31.97634877160729 6209
31.775069581382446 0.40255838044969394 31.97634877160729 31.573790391157598 6258
31.375045155807143 0.3974904707009088 31.573790391157598 31.17629992045669 6326
30.980056739378792 0.39248636215579324 31.17629992045669 30.783813558300896 6405
30.590040932498503 0.3875452516047879 30.783813558300896 30.396268306696108 6444
30.20493513372104 0.3826663459501347 30.396268306696108 30.013601960745973 6551
29.824677529706683 0.3778488620785829 30.013601960745973 29.63575309866739 6491
29.44920708529954 0.3730920267357014 29.63575309866739 29.26266107193169 6739
29.078463533730815 0.36839507640174673 29.26266107193169 28.894265995529942 6668
28.71238736694538 0.36375725716912655 28.894265995529942 28.530508738360815 6838
28.350919826050124 0.3591778246213799 28.530508738360815 28.171330913739435 6784
27.994002891882587 0.3546560437136925 28.171330913739435 27.816674870025743 6966
27.641579275698284 0.3501911886549145 27.816674870025743 27.46648368137083 6924
27.29359240997529 0.3457825427910741 27.46648368137083 27.120701138579754 7143
26.949986439334587 0.34142939849033027 27.120701138579754 26.779271740089424 7035
